"Author(s), Title, Journal",Link,Year Published,Danger Topic,Purpose,Subjects,Subject Characteristics,Study Design,Year Data Collected,Control,Intervention,Conclusion,Funding Source,Comments
"MELISSA G. HUNT, RACHEL MARX, COURTNEY LIPSON, No More FOMO: Limiting Social Media Decreases Loneliness and Depression, Journal of Social and Clinical Psychology
AND JORDYN YOUNG",https://www.bibliotecapleyades.net/archivos_pdf/no-more-fomo.pdf,2018,Mental health,"Given the breadth of correlational research linking social media 
use to worse well-being, we undertook an experimental study to investigate the potential causal role that social media plays in this relationship.",143,Undergraduates at the University of Pennsyl vania,Subjective Well-Being Survey,Not mentioned,"The control group 
was instructed to continue to use social media as usual.","The intervention group was told to limit their usage on Facebook, 
Instagram and Snapchat to 10 minutes per platform per day. ","Our study is the first ecologically valid, experimental investigation that examines multiple social media platforms and tracks actual usage objectively. The results from our experiment strongly suggest that limiting social media 
usage does have a direct and positive impact on subjective well-being over time, especially with respect to decreasing loneliness and depression. That is, ours is the first study to establish a clear causal link between decreasing social media use, and improve ments in loneliness and depression. It is ironic, but perhaps not surprising, that reducing social media, which promised to help us connect with others, actually helps people feel less lonely and depressed.",,
"Brian A Primack,Social Media Use and Perceived Social Isolation Among Young Adults in the U.S,
American Journal of Preventive Medicine",https://pubmed.ncbi.nlm.nih.gov/28279545/,2017,Mental health,"Perceived social isolation (PSI) is associated with substantial morbidity and mortality. Social media platforms, commonly used by young adults, may offer an opportunity to ameliorate social isolation. This study assessed associations between social media use (SMU) and PSI among U.S. young adults.",1787,U.S. adults aged 19–32 years,survey,2014,N/A,N/A,"1.In fully adjusted multivariable models that included survey weights, compared with those in the lowest quartile for SMU time, participants in the highest quartile had twice the odds of having greater PSI (AOR=2.0, 95% CI=1.4, 2.8). Similarly, compared with those in the lowest quartile, those in the highest quartile of SMU frequency had more than three times the odds of having greater PSI (AOR=3.4, 95% CI=2.3, 5.1). Associations were linear (p<0.001 for all), and results were robust to all sensitivity analyses.
2.Young adults with high SMU seem to feel more socially isolated than their counterparts with lower SMU. Future research should focus on determining directionality and elucidating reasons for these associations.",,
the Youth Health Movement (YHM),https://www.rsph.org.uk/static/uploaded/d125b27c-0b62-41c5-a2c0155a8887cd01.pdf,2017,Mental health,"The aim of the survey was to find out how participants feel each of these platforms impacts their health and wellbeing (both positively and negatively) and make comparisons between these platforms, as well as asking them their views on a number of policy recommendations.In the survey, we asked young people, from their personal experience, to what extent each of the social media platforms they use made certain health-related factors better or worse. They ranked these issues from -2 (a lot worse), through 0 (no effect) to +2 (a lot better).",1479,"14-
24 year olds",survey,2017,N/A,N/A,"Based on the 14 health and wellbeing-related questions we asked young people to rank, below is a quick guide for each of the social media platforms in order of their net impact on young people’s health and wellbeing – with the 
most positive first, and most negative last. YouTube (most positive)
Twitter
Facebook
Snapchat
Instagram (most negative)",,
"Ariel Shensa, Social Media Use and Depression and Anxiety Symptoms: A Cluster Analysis,Am J Health Behav",https://pubmed.ncbi.nlm.nih.gov/29458520/,2018,Mental health,"Individuals use social media with varying quantity, emotional, and behavioral at- tachment that may have differential associations with mental health outcomes. In this study, we sought to identify distinct patterns of social media use (SMU) and to assess associations between those patterns and depression and anxiety symptoms.",1730,US adults ages 19 to 32,Online survey,2014,N/A,N/A,"SMU pattern characterization of a large population suggests 2 pat- terns are associated with risk for depression and anxiety. Developing educational interventions that address use patterns rather than single aspects of SMU (eg, quantity) would likely be useful.",,
"Russell M Viner,Roles of cyberbullying, sleep, and physical activity in mediating the effects of social media use on mental health and wellbeing among young people in England: a secondary 
analysis of longitudinal data,Lancet Child Adolesc Health
2019",https://www.thelancet.com/journals/lanchi/article/PIIS2352-4642(19)30186-5/fulltext,2019,Mental health,"There is growing concern about the potential associations between social media use and mental health 
and wellbeing in young people. We explored associations between the frequency of social media use and later mental health and wellbeing in adolescents, and how these effects might be mediated.",12866,young people from age 13 years to 16 years in England,secondary analyses of publicly available data from the Our Futures study,Not mentioned,N/A,N/A,"Mental health harms related to very frequent social media use in girls might be due to a combination of exposure to cyberbullying or displacement of sleep or physical activity, whereas other mechanisms appear to be operative in boys. Interventions to promote mental health should include efforts to prevent or increase resilience to cyberbullying and ensure adequate sleep and physical activity in young people.",,
"Elroy Boers, Association of Screen Time and Depression in Adolescence,JAMA Pediatr",https://jamanetwork.com/journals/jamapediatrics/fullarticle/2737909?guestAccessKey=7f0019bd-f2eb-4dc1-a509-cd5bc2444a79&utm_source=For_The_Media&utm_medium=referral&utm_campaign=ftm_links&utm_content=tfl&utm_term=071519,2019,Mental health,"To repeatedly measure the association between screen time and depression to test 3 explanatory hypotheses: displacement, upward social comparison, and reinforcing spirals.","3,826",adolescents,secondary analysis used data from a randomized clinical trial,2012-2018,N/A,N/A,"Time-varying associations between social media, television, and depression were found, which appeared to be more explained by upward social comparison and reinforcing spirals hypotheses than by the displacement hypothesis. Both screen time modes should be taken into account when developing preventive measures and when advising parents.",,
"Jean M. Twenge,Increases in Depression, Self‐Harm, and Suicide Among U.S. Adolescents After 2012 and Links to Technology Use: Possible Mechanisms ",https://prcp.psychiatryonline.org/doi/pdf/10.1176/appi.prcp.20190015,2020,Mental health,"Increases in depression among adolescents have been concurrent with increases in digital media use. In this article, recent trends in mental health among U.S. adolescents and young adults are discussed and theories about their possible connection with concurrent increases in digital media use are presented. ",NA,NA, Large studies of trends in mental health in the 2000s and 2010s are described and possible mechanisms for the trends are discussed based on existing literature.,in the 2000s and 2010s,N/A,N/A,"In conclusion, we are in the midst of a mental health crisis  among adolescents in the United States. This crisis will ne cessitate more resources for treatment in the coming years  and potentially far into the future, given that those who  experience their first episode of depression as adolescents are more likely to relapse as adults. The cause of this crisis is difficult to determine, but the rise of digital media is one possibility. The interaction between digital media use and mental health is complex, appearing to operate directly and indirectly, at the individual and generational levels, and via time spent as well as through specific experiences. With more adolescents diagnosed as having depression and engaging in self‐harm behavior and suicide attempts, it is imperative to not only treat those with these conditions but to explore how to prevent their onset. ",,
"Jean M. Twenge,Increases in Depressive Symptoms, 
Suicide-Related Outcomes, and Suicide 
Rates Among U.S. Adolescents After 2010 and Links to Increased New Media Screen Time,Clinical Psychological Science",https://courses.engr.illinois.edu/cs565/sp2018/Live1_Depression&ScreenTime.pdf,2018,Mental health,"Since 2010, iGen adolescents have spent more time on new media screen activities and less time on nonscreen activities, which may account for the increases in depression and suicide. ","506,820",U.S. adolescents in grades 8 through 12,"In two nationally representative surveys of U.S. adolescents in grades 8 through 12 (N = 506,820) and national statistics 
on suicide deaths for those ages 13 to 18, adolescents’ depressive symptoms, suicide-related outcomes, and suicide rates increased between 2010 and 2015",2010-2015,N/A,N/A,"Adolescent mental health issues rose sharply since 2010, especially among females. New media screen time is both associated with mental health issues and increased over this time period. Thus, it seems likely that the concomitant rise of screen time and ado lescent depression and suicide is not coincidental.Adolescents who spent more time on new media (including social media and electronic devices such as smartphones) were more likely to report mental health issues, and adolescents who spent more time on nonscreen activities (in-person social interaction, sports/exercise, homework, print media, and attending religious services) were less likely.",,
"Junling Gao,Mental health problems and social media exposure during COVID-19 outbreak,PLOS ONE",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0231924,2020,Mental health,"Huge citizens expose to social media during a novel coronavirus disease (COVID-19) outbroke in Wuhan, China. We assess the prevalence of mental health problems and examine their association with social media exposure. ",4872,Chinese citizens aged≥18 years old,Online survey,2020,N/A,N/A,"In conclusion, our findings show there are high prevalence of mental health problems, which positively associated with frequently SME during the COVID-19 outbreak. These findings implicated the government need pay more attention to mental health among general population while combating with COVID-19. Fortunately, The China government have provided mental health services by varied channel including hotline, online consultation, online course and outpatient consultation, but more attention should be paid to depression and anxiety. The next implication is to combat with “infodemic” by monitoring and filtering out false information and promoting accurate information though cross-section collaborations.",,
"Jessica C Levenson,Social Media Use Before Bed and Sleep Disturbance Among Young Adults in the United States: A Nationally Representative Study,Sleep, Volume 40, Issue 9, September 2017",https://pubmed.ncbi.nlm.nih.gov/28934521/,2017,Mental health,"Social media (SM) use has been positively associated with disturbed sleep among young adults. However, previous studies have not elucidated the specific importance of SM use immediately before bed. We aimed to determine the independent association of SM use during the 30 minutes before bed and disturbed sleep while controlling for covariates including total SM use throughout the day.",1763,US young adults aged 19–32, brief Patient-Reported Outcomes Measurement Information System (PROMIS®) Sleep Disturbance measure,2014,N/A,N/A,SM use in the 30 minutes before bed is independently associated with disturbed sleep among young adults. Future work should use qualitative and experimental methods to further elucidate the directionality of—and mechanisms underlying—this association.,,
"AnnaVannucci,Social media use and anxiety in emerging adults,
Journal of Affective Disorders",https://www.sciencedirect.com/science/article/abs/pii/S0165032716309442,2017,Mental health,"Social media use is central to the lives of emerging adults, but the implications of social media use on psychological adjustment are not well understood. The current study aimed to examine the impact of time spent using social media on anxiety symptoms and severity in emerging adults.",563,Emerging adults from the U.S. (18–22 years-old; 50.2% female; 63.3% Non-Hispanic White),Online survey,Not mentioned,N/A,N/A,"1.Hierarchical regression revealed that more time spent using social media was significantly associated with greater symptoms of dispositional anxiety (B=0.74, 95% CI=0.59–0.90, p<0.001), but was unrelated to recent anxiety-related impairment (B=0.06, 95% CI=0.00–0.12, p=0.051), controlling for age, gender, race/ethnicity, and education level. Logistic regression also revealed that more daily social media use was significantly associated with a greater likelihood of participants scoring above the anxiety severity clinical cut-off indicating a probable anxiety disorder (AOR=1.032, 95% CI=1.004–1.062, p=0.028).
2.Given the ubiquity of social media among emerging adults, who are also at high risk for anxiety disorders, the positive association between social media use and anxiety has important implications for clinicians. Gaining a more nuanced understanding of this relationship will help to inform novel approaches to anxiety treatment.",,
Sarah M. Coyne，Does time spent using social media impact mental health?: An eight year longitudinal study，FACULTY PUBLICATIONS,https://scholarsarchive.byu.edu/cgi/viewcontent.cgi?article=5103&context=facpub,2019,Mental health,"Many studies have found a link between time spent using social media and mental health issues, such as 
depression and anxiety. However, the existing research is plagued by cross-sectional research and lacks analytic techniques examining individual change over time. The current research involves an 8-year longitudinal study examining the association between time spent using social media and depression and anxiety at the intra individual level.",500,Adolescents who completed once-yearly questionnaires between the ages of 13 and 20,survey,From 2007,N/A,N/A,"1.The current study examined associations between early adolescence to emerging adult SNSs time usage to depression and anxiety across an eight-year timespan. In general, between subjects analyses (both at the cross-sectional and longitudinal level) revealed that time spent using 
SNSs was moderately related to anxiety and depression (though there were some differences depending on the sex of participant). These findings corroborate a host of studies suggesting that time spent using social media is related to mental health issues.
2.However, the within-person, cross lagged estimates painted a very different picture. Specifically, there were no associations between time spent using social media and mental health across eight years, spanning early adolescence into young adulthood.",,
"Polanin, J. R. (2020, April 30). A Systematic Review and Meta-Analysis of Interventions to Decrease Cyberbullying Perpetration and Victimization. https://www.ojp.gov/pdffiles1/nij/grants/256015.pdf.",https://www.ojp.gov/pdffiles1/nij/grants/256015.pdf,2020,Cyberbullying,"The purpose of this study was to conduct a large-scale systematic review and metaanalysis of studies that measured the impacts of school violence, bullying, and targeted cyberbullying prevention programming on cyberbullying perpetration and victimization outcomes, school performance indicators, and in-person bullying perpetration and victimization. Researchers have increased the implementation of interventions to target cyberbullying, and the results have been varied. Although several reviews on the topic have been conducted (Gaffney et al., 2019; Pyżalski & Poleszak, 2019), no systematic review or metaanalysis has been conducted that incorporates all available extant literature or the broader landscape of school violence studies, including unpublished grey literature. As such, to fill this gap, and with the goal of providing appropriate, specific, and concrete responses to school violence in policy and practice, we believed it was paramount to synthesize the various primary research findings. For this project, we conducted a systematic review and meta-analysis using comprehensive literature searches, thorough coding practices, and state-of-the-art meta-analysis techniques",metanalysis,K-12 students,metanalysis,1995 to 2020,N/A,N/A,"Overall, the results, presented in Table 2, indicated that school-based prevention or intervention programs that measured cyberbullying outcomes were associated with statistically significant reductions in all four outcome variables of interest. Specifically, the programs were associated with significant reductions in cyberbullying perpetration (g = -0.19, SE = 0.05, 95% CI[-0.28, -0.09]) and cyberbullying victimization (g = - 0.13, SE = 0.04, 95% CI[-0.21, -0.05]). They were also associated with significant reductions in traditional bullying perpetration (g = -0.18, SE = 0.05, 95% CI[-0.28, -0.08]), and traditional bullying victimization (g = -0.16, SE = 0.06, 95% CI[-0.27, -0.05]).",,
"O’Connor, C. (2021). (rep.). Hatescape: An In-Depth Analysis of Extremism and Hate Speech on TikTok. Institute for StrategInstitute for Strategic Dialogueic Dialogue. Retrieved September 14, 2021, from https://www.isdglobal.org/wp-content/uploads/2021/08/HateScape_v5.pdf.",https://www.isdglobal.org/wp-content/uploads/2021/08/HateScape_v5.pdf,2021,Hate Speech,"This report aims to provide an in-depth analysis on the state of extremism and hate on TikTok. It is the culmination of three months of research on a sample of 1,030 videos posted on TikTok, equivalent to just over eight hours of content, that were used to promote hatred and glorify extremism and terrorism on the platform.",analysis,videos on Tik Tok,analysis,2021,N/A,N/A,"ISD identified 312 videos promoting white supremacy. These 312 videos (30% of full sample) range from support for the Great Replacement and
white genocide conspiracy theories; multi-part uploads of content taken from white supremacist content creators on other platforms; clips of white
supremacists like Paul Miller racially abusing people on other social media platforms; or TikTok Sounds featuring music from white power bands.",,
Nicole M. Lee,https://discovery.ebsco.com/c/42hads/viewer/pdf/kunt4abskf,2018,Fraud,This article states that the Internet poses many risks for children and adults especially older adults due to lack of information and misinformation. One of the ways would to impose digital media literacy education to the public to increase awareness.,Digital Media,Older adults,Mutiple sessions of teaching individuals about digital media.,Not mentioned,NA,NA,Internet users are unaware of what is going in social media and needs to be informed and aware of it. The study strategy discussed in the article would reduce the threats and risks of harm in order to protect social media users.,,
"Choukas-Bradley, S., Maheux A. J., Nesi, J., Roberts, S. R., Widman, L.",https://onlinelibrary.wiley.com/doi/full/10.1002/jad.12009?saml_referrer,2022,Mental Health,"The study aims to assess the association between depressive symptoms and preoccupation with physical appearence in social media photos, aka appearence-related social media consciousness (ASMC), over a one year period. The study is unique in its aims in that it assesses ASMC, a particular experience of some social media users, and depressive symptoms as opposed to just analyzing overall screen time and its association with depressive symtpoms. ",163,"Highschool students in southeastern U.S. 55.8% girls, 44.8% White, 23.9% Black, 24.4% Hispanic/Latinx",social media use assessed through survey question about time spent on social media; ASMC assessed with 13-item ASMC scale; depressive symptoms assessed with Short Mood and Feelings questionnaire; ,T1-2018; T2-2019,N/A,N/A,Appearence-related social media consciousness at baseline was related to depressive symptoms that were higher a year later given that time spent on social media was controlled for. Associations were similar for both boys and girls. The conclusions of the study highlight the importance of appearence-related social media consciousness in the development of depressive symptoms ,Grant supported by National Science Foundations Graduate Research Fellowships; Grants from National Institute of Mental Health and American Foundatiion for Suicide Prevention.,Authors declare no conflict of interest.
"Mehrnoosh Mirtaheri, Sami Abu-El-Haija, Fred Morstatter, Greg Ver Steeg, Aram Galstyan",http://arxiv.org/abs/1902.03110,2019,Manipulations,The study conducts an experiment to identify pump and dump scans across many different social media platforms.,social media data mining,All social media users,Machine Learning Algorthims to identify dump and pump scams.,2017 - 2018,NA,NA,A machine learning method to detect an unfolding attack on a coin in a social media platform and meeting the expected price targets.,,
Nan Zhao & Guangyu Zhou,https://iaap-journals.onlinelibrary.wiley.com/doi/10.1111/aphw.12226,2020,Mental Health,Aims to identify possible links between social media usage during COVID-19 and mental health outcomes,512,"College, 18-30",self-report/survey,2020,N/A,N/A,Repeated expsoure to danger or disaster via social media may give rise to negative affect,,
"Xuan Wei, Zhu Zhang, Mingyue Zhang, Weiyun Chen, and Daniel Dajun Zeng",https://discovery.ebsco.com/c/42hads/viewer/pdf/2wpopbxztr,2022,Fraud,"False news on social media impacted many areas in a negative way including politics, academics, economics, etc. Researchers have created machine learning algorthims to detect false news on social  media to reduce the harm it does to the public.",Fake news,All social media users,Machine Learning Algorthims to detect false news,2012 - 2018,NA,NA,"False news on social media has negatively affect many areas of academics, however researchers have developed machine learning algorthims to detect the false news to reduce the impact. The two methods the researchers used for machine learning are thr Bayesian approach and classification. Bayesian approach uses statistisical inference to express probability in an event. ",,
"Lee Shieun, Lohrmann David K., Luo Juhua, Chow Angela",https://www.sciencedirect.com/science/article/pii/S1054139X21006753,2022,Mental Health,Study examined the relationship between mental health and frequent social media use in US adolescents. First study to look at this relationship in a recent representative sample of US adolescents.,,Both sexes examined ages 12-14,Assessment; Statistical Analysis,2013-2018,"Mental health assessed at baseline and then at waves 2, 3, 4",N/A,A major finding of the study showed that mental health was affected negatively in both sexes by frequent social media use.,N/A,"Study takes into account existing literature pointing towards the fact that increased social media use is linked to more mental health problems, regardless of whether the social media content viewed is negative or positive. 
The study considered substantial sex differences found in both mental health and social media use, in order to account for as many factors that could be an alternative explanation for the results.
"
"Guidry Jeanine, O' Donnell H. Nicole, Miller A. Carrie, Perrin B Paul, and Carlyle E. Kellie",https://discovery.ebsco.com/c/42hads/viewer/html/b4mr55skuf,2021,Suicide,This study examines how social media is correlated with sucidial deaths by using Pininterest as an example.,Content,Social Media Users,Content Analysis,2018,NA,NA,The parts of a content on social media platforms reveal characteristics of sucidal contents and posts that are harmful to social media users. These area of contents need special attention and improvements to reduce the negative impact on social media users.,,
"Coyne, et al.",https://www.sciencedirect.com/science/article/pii/S0747563219303723?casa_token=SyqFyaHdsdoAAAAA:xtP32LoAxG0WYkNA17QZeEYDASJI7gAttXudxPXtHSpYfVBhzTAKz118hf4YFHbKDCKq3PvsfA,2019,Mental Health,"Examines the association between time spent using social media, anxiety, and depression, but at the intra-individual level.",,Ages 13-20,Longitudinal - 8 yrs,N/A,N/A,N/A,"Presence of correlation at between subject level, but not within. Overall, there is no siginificant correlation between increased time. spent on social media and increased mental health issues",N/A,Interesting to see a longitudinal study in a subject that most commonly uses cross-sectional studies
"AMANDA LENHART, MARY MADDEN, AARON SMITH, KRISTEN PURCELL AND KATHRYN ZICKUHR",https://www.pewresearch.org/internet/2011/11/09/teens-kindness-and-cruelty-on-social-network-sites/,2021,Cyberbullying,To examine how social media has negatively impacted teen behaviors.,Cruelty,Ages 13 - 17,RDD samples,2011,NA,NA,88% of social media-using teens have witnessed other people be mean or cruel on social network sites.,,
Brooke Auxier,https://www.pewresearch.org/fact-tank/2020/10/15/64-of-americans-say-social-media-have-a-mostly-negative-effect-on-the-way-things-are-going-in-the-u-s-today/ft_2020-10-15_socialmediaeffect_03/,2020,Fraud,"To promote awarness that social media is negatively impacting the public by misinformation, hate, unbeliveable facts, etc.",Misinformation,Everyone,Survey,2020,NA,NA,"About two-thirds of Americans (64%) say social media have a mostly negative effect on the way things are going in the country today, according to a Pew Research Center survey of U.S. adults conducted July 13-19, 2020. ",,https://www.pewresearch.org/fact-tank/2020/10/15/64-of-americans-say-social-media-have-a-mostly-negative-effect-on-the-way-things-are-going-in-the-u-s-today/ft_2020-10-15_socialmediaeffect_03/
"Fekih-Romdhane, Feten,  Sassi, Hadhami, Cheour, Majda",https://www.tandfonline.com/doi/full/10.1080/17522439.2020.1861074,2020,Mental Health,"The researchers aimed to assess the relationship between social media addiction and mental illness, specifically psychotic-like experiences in a nonclinical student sample in Tunisia (a country with one of the highest social media use rates in the world).",social media addiction and mental illness,Tunisian youth (nonclinical sample),Survey,2019,N/A,N/A,"The study found a relationship between social media addictiona nd psychotic-like experiences, specifically showing that social media addiction significantly contributed to prediction of psychotic-like experiences. The finding indicates that social media addiction may be an important area of focus when considering early intervention in mental illnesses of the psychosis nature. ",No conflict of interest in funding sources,"Study controlled for substance use and demographic variables that could also be implicated and account for incidence of psychotic-like experiences, in order to assess the role of social media addiction in positive psychotic-like experiences."
